Fecha Ingreso,Producto,Cantidades,Costo Unit
6-feb-20,Sauce - Hp,2,44
4-nov-20,Mushroom Morel Fresh,2,44
4-feb-20,Tomato Puree,2,44
27-dic-21,Carbonated Water - Blackberry,2,44
8-abr-21,Carbonated Water - Blackberry,2,44
19-abr-22,Mushroom Morel Fresh,2,44
13-ago-21,Sauce - Hp,1,44
13-dic-20,Tomato Puree,2,44
24-oct-21,Sauce - Hp,1,44
30-oct-21,Carbonated Water - Blackberry,3,44
5-may-20,Tomato Puree,3,44
29-ene-21,Mushroom Morel Fresh,2,44
27-nov-20,Sauce - Hp,2,44
8-ene-22,Carbonated Water - Blackberry,2,44
23-feb-20,Mushroom Morel Fresh,1,44
3-may-21,Tomato Puree,3,44
11-dic-21,Mushroom Morel Fresh,2,44
6-oct-21,Tomato Puree,1,44
11-may-22,Sauce - Hp,2,44
15-feb-22,Carbonated Water - Blackberry,2,44
23-ago-21,Mushroom Morel Fresh,2,44
30-abr-21,Carbonated Water - Blackberry,1,44
1-feb-22,Sauce - Hp,2,44
26-abr-22,Tomato Puree,3,44
18-abr-22,Tomato Puree,1,44
1-abr-22,Mushroom Morel Fresh,2,44
28-ago-21,Carbonated Water - Blackberry,2,44
14-ene-22,Sauce - Hp,3,44
17-mar-21,Sauce - Hp,2,44
22-may-21,Tomato Puree,2,44
14-feb-22,Mushroom Morel Fresh,1,44
24-jul-22,Carbonated Water - Blackberry,1,44
24-nov-21,Mushroom Morel Fresh,1,44
20-jun-21,Tomato Puree,3,44
26-feb-22,Sauce - Hp,3,44
1-oct-21,Carbonated Water - Blackberry,2,44
18-oct-21,Tomato Puree,3,44
3-ago-21,Mushroom Morel Fresh,2,44
3-jun-21,Sauce - Hp,2,44
23-ene-20,Carbonated Water - Blackberry,2,44
29-may-20,Mushroom Morel Fresh,2,44
27-ago-21,Sauce - Hp,1,44
16-oct-21,Carbonated Water - Blackberry,2,44
16-may-22,Tomato Puree,2,44
3-sep-21,Carbonated Water - Blackberry,3,44
23-jun-20,Tomato Puree,1,44
18-jul-22,Mushroom Morel Fresh,2,44
5-abr-22,Sauce - Hp,2,44
14-feb-21,Sauce - Hp,2,44
19-ene-22,Tomato Puree,3,44
21-may-20,Carbonated Water - Blackberry,2,44
4-ene-22,Mushroom Morel Fresh,2,44
14-dic-21,Mushroom Morel Fresh,3,44
28-nov-21,Sauce - Hp,1,44
15-dic-20,Carbonated Water - Blackberry,1,44
3-jul-22,Tomato Puree,1,44
15-jun-21,Sauce - Hp,2,44
17-abr-20,Carbonated Water - Blackberry,3,44
2-may-21,Tomato Puree,1,44
7-jul-21,Mushroom Morel Fresh,1,44
22-feb-20,Mushroom Morel Fresh,3,44
11-ago-21,Tomato Puree,3,44
21-ago-20,Sauce - Hp,1,44
28-abr-21,Carbonated Water - Blackberry,3,44
17-jul-20,Carbonated Water - Blackberry,3,44
2-may-22,Tomato Puree,2,44
23-dic-20,Sauce - Hp,3,44
30-ene-20,Mushroom Morel Fresh,1,44
26-ago-20,Mushroom Morel Fresh,2,44
25-abr-20,Carbonated Water - Blackberry,1,44
18-sep-21,Sauce - Hp,2,44
14-feb-20,Tomato Puree,3,44
1-mar-20,Mushroom Morel Fresh,3,44
6-may-20,Tomato Puree,2,44
1-nov-21,Sauce - Hp,1,44
4-feb-21,Carbonated Water - Blackberry,2,44
5-ago-21,Sauce - Hp,1,44
17-ago-21,Tomato Puree,1,44
8-abr-21,Carbonated Water - Blackberry,1,44
14-abr-20,Mushroom Morel Fresh,1,44
21-oct-21,Tomato Puree,3,44
28-oct-21,Mushroom Morel Fresh,1,44
11-may-21,Sauce - Hp,1,44
29-abr-20,Carbonated Water - Blackberry,3,44
11-jul-22,Sauce - Hp,1,44
15-may-21,Tomato Puree,1,44
2-feb-21,Carbonated Water - Blackberry,1,44
28-jul-21,Mushroom Morel Fresh,1,44
29-abr-21,Mushroom Morel Fresh,2,44
8-nov-21,Wine - Gewurztraminer Pierre,2,2
17-feb-22,Dish Towel,2,2
26-feb-20,Sproutsmustard Cress,1,2
16-sep-21,Wine - Gewurztraminer Pierre,2,2
31-ago-21,Dish Towel,3,2
26-ene-21,Sproutsmustard Cress,2,2
14-abr-21,Wine - Gewurztraminer Pierre,2,2
18-sep-20,Sproutsmustard Cress,1,2
30-may-22,Dish Towel,3,2
26-jun-22,Wine - Gewurztraminer Pierre,3,2
3-mar-21,Sproutsmustard Cress,2,2
23-jun-21,Dish Towel,3,2
21-nov-21,Wine - Gewurztraminer Pierre,2,2
17-sep-20,Dish Towel,2,2
24-ene-21,Sproutsmustard Cress,2,2
19-jun-21,Sproutsmustard Cress,2,2
25-ene-21,Dish Towel,3,2
30-jun-22,Wine - Gewurztraminer Pierre,1,2
16-mar-22,Wine - Gewurztraminer Pierre,2,2
19-may-21,Dish Towel,3,2
8-jun-22,Sproutsmustard Cress,3,2
26-may-21,Dish Towel,2,2
29-ago-21,Sproutsmustard Cress,2,2
30-jul-22,Wine - Gewurztraminer Pierre,3,2
12-jun-21,Sproutsmustard Cress,2,2
4-dic-21,Wine - Gewurztraminer Pierre,2,2
7-abr-22,Dish Towel,2,2
18-may-22,Wine - Gewurztraminer Pierre,1,2
1-ago-20,Sproutsmustard Cress,1,2
15-ene-21,Dish Towel,3,2
2-jul-22,Sproutsmustard Cress,1,2
29-jun-22,Dish Towel,3,2
30-ene-22,Wine - Gewurztraminer Pierre,3,2
20-jun-21,Sproutsmustard Cress,1,2
31-ago-21,Dish Towel,2,2
12-jul-21,Wine - Gewurztraminer Pierre,2,2
29-jul-21,Dish Towel,3,2
17-mar-21,Sproutsmustard Cress,1,2
29-sep-21,Wine - Gewurztraminer Pierre,2,2
29-ago-21,Wine - Gewurztraminer Pierre,1,2
1-feb-20,Dish Towel,3,2
13-mar-22,Sproutsmustard Cress,1,2
2-nov-20,Dish Towel,3,2
21-abr-20,Wine - Gewurztraminer Pierre,2,2
1-dic-20,Sproutsmustard Cress,3,2
8-ago-20,Wine - Gewurztraminer Pierre,3,2
27-jul-20,Dish Towel,3,2
18-mar-20,Sproutsmustard Cress,1,2
8-jun-21,Wine - Gewurztraminer Pierre,1,2
22-feb-20,Sproutsmustard Cress,3,2
28-jul-20,Dish Towel,1,2
23-may-22,Sproutsmustard Cress,1,2
9-oct-21,Wine - Gewurztraminer Pierre,3,2
19-ene-20,Dish Towel,3,2
28-may-21,Wine - Gewurztraminer Pierre,1,2
15-ene-22,Dish Towel,1,2
4-sep-21,Sproutsmustard Cress,1,2
31-may-20,Dish Towel,2,2
12-ene-20,Wine - Gewurztraminer Pierre,2,2
14-abr-21,Sproutsmustard Cress,3,2
18-dic-21,Sproutsmustard Cress,2,2
31-ene-21,Dish Towel,1,2
30-dic-20,Wine - Gewurztraminer Pierre,2,2
12-jun-22,Wine - Gewurztraminer Pierre,2,2
12-jul-21,Dish Towel,2,2
5-oct-20,Sproutsmustard Cress,2,2
29-may-21,Halibut - Fletches,2,37
21-sep-21,Carbonated Water - Peach,2,46
1-ene-22,Ice Cream Bar - Hagen Daz,3,28
26-dic-20,Flower - Commercial Bronze,1,40
28-jul-21,Basil - Dry Rubbed,1,13
